№ схемы/риска,Статус РСЗ,Тип,Дата изменения статуса РСЗ,"Потенциальный ущерб, руб",ИНН НП,"Инспектор, сменивший статус","Код НО инспектора, сменившего стат"
9420885,Новое,RISK_SHORT,2024-06-26 10:35:42,8875.6866,355-qew-ruzd-mnzkg,61134-dcgl-qadntg-pwvipzgd,6900
9420886,Новое,RISK_SHORT,2024-06-26 10:35:42,146200.8858,286-nkb-mlgd-qzywv,79193-myar-uunxrx-txefmepq,5263
9420887,Новое,RISK_SHORT,2024-06-26 10:35:42,257498.0208,676-kyg-obzw-mneck,45427-ydut-gtswob-gmbvclpe,5024
9420888,Новое,RISK_SHORT,2024-06-26 10:35:42,94804.2906,643-lrg-cxyp-tfgzc,23756-duxr-smvqft-zcfdopxd,800
9420889,Новое,RISK_SHORT,2024-06-26 10:35:43,7109.8752,165-hnz-omtn-rhdwo,69222-fnqe-cdwnbr-sugaxthp,7751
9420891,Новое,RISK_SHORT,2024-06-26 10:35:43,54122.5134,657-bmy-ockl-hpsaz,12327-thft-sbahcz-faeosplv,7728
9420892,Новое,RISK_SHORT,2024-06-26 10:35:44,98885.9052,626-sfn-wyem-pluyv,55180-aeaq-mnrjvc-qoyaugmw,800
9420893,Новое,RISK_SHORT,2024-06-26 10:35:44,10307.3064,794-cam-lern-hkpbc,98365-zoqr-jynrpx-nifmxbql,7731
9420894,Новое,RISK_SHORT,2024-06-26 10:35:44,6246.2412,653-avn-amvd-puvpa,31534-iano-bzjxas-rllnavgo,5050
9420897,Новое,RISK_SHORT,2024-06-26 10:35:45,11622.3996,544-ycq-gmvy-qllca,59497-wwud-mrfgtb-zlpgwsan,5040
9420900,Новое,RISK_SHORT,2024-06-26 10:35:45,41316.1782,751-mbs-fxuu-asmmz,40317-lohk-rjlaga-xoyikhim,800
9420902,Новое,RISK_SHORT,2024-06-26 10:35:45,12957.5538,388-men-lwkf-cyfsb,28277-tzju-zexmyo-ctmehcja,6312
9420903,Новое,RISK_SHORT,2024-06-26 10:35:46,457331.418,273-gci-ymic-hfrmz,91212-fxcx-aqqkse-wzzmaovj,7720
9420904,Новое,RISK_SHORT,2024-06-26 10:35:46,11651.325,413-adf-nuwi-ybqtd,47193-furq-gxfzjj-jdtuffag,3700
9420905,Новое,RISK_SHORT,2024-06-26 10:35:46,182860.017,133-zzy-ahdi-otzvk,29879-txbq-lkytdb-aogahmpp,5018
9420906,Новое,RISK_SHORT,2024-06-26 10:35:47,5705.3088,280-ors-bktz-utsgo,49402-hjxx-bkggta-pmguiwew,5252
9420907,Новое,RISK_SHORT,2024-06-26 10:35:47,575393.4552,898-dcb-dgsi-gdgpe,36268-ukhj-lyswfd-aarkgekx,5252
